rank,method,conf,nms_iou,merge_distance,n_images,mean_boxes,std_boxes,median_boxes,mean_area,mean_text_coverage,mean_overlap_ratio,mean_empty_boxes,mean_empty_ratio,mean_tiny_boxes,mean_tiny_ratio,mean_duplicates,total_duplicates,mean_time_ms,score
129,yolo11,0.20,0.30,20,18,1.78,2.49,1.00,11095.92,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,225.82,6.41
130,yolo11,0.20,0.30,15,18,1.78,2.49,1.00,11095.92,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,224.99,6.41
131,yolo11,0.20,0.30,10,18,1.83,2.64,1.00,10927.38,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,220.67,6.41
132,yolo11,0.20,0.30,5,18,1.83,2.64,1.00,10927.38,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0,222.51,6.41
133,yolo11,0.30,0.50,5,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,216.00,3.68
134,yolo11,0.30,0.60,20,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,206.42,3.68
135,yolo11,0.30,0.60,15,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,214.89,3.68
136,yolo11,0.30,0.60,10,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,215.98,3.68
137,yolo11,0.30,0.60,5,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,213.48,3.68
138,yolo11,0.30,0.50,20,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,232.70,3.68
139,yolo11,0.30,0.50,15,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,211.19,3.68
140,yolo11,0.30,0.50,10,18,1.11,2.05,0.00,7927.22,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,228.02,3.68
141,yolo11,0.30,0.30,20,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,226.74,3.54
142,yolo11,0.30,0.40,20,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,221.45,3.54
143,yolo11,0.30,0.40,10,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,206.71,3.54
144,yolo11,0.30,0.40,5,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,219.46,3.54
145,yolo11,0.30,0.30,15,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,220.79,3.54
146,yolo11,0.30,0.30,10,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,211.93,3.54
147,yolo11,0.30,0.30,5,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,215.09,3.54
148,yolo11,0.30,0.40,15,18,1.06,1.98,0.00,7544.82,0.04,0.00,0.00,0.00,0.06,0.01,0.00,0,212.56,3.54
149,yolo11,0.40,0.50,5,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,218.14,1.37
150,yolo11,0.40,0.60,15,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,215.94,1.37
151,yolo11,0.40,0.60,10,18,0.56,1.54,0.00,1023.13,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0,210.30,1.37
